IR,RED,X,Y,Z,HR,RR,SPO2,Error Rate
228562.0,209253.0,-0.005,-0.8477,-0.5084,57.26350078316459,,98.22655004370388,
228011.0,209099.0,-0.004,-0.8437,-0.5224,61.927673664897405,,94.8154561519899,
227918.0,208997.0,-0.004,-0.8437,-0.5234,48.29781736295762,,96.97423232594048,
228023.0,209036.0,0.0,-0.8347,-0.5164,55.98729822219667,,98.06097975090582,
228035.0,208994.0,-0.002,-0.8307,-0.5124,55.22615190235481,,97.95971708823684,
228086.0,209128.0,-0.002,-0.8307,-0.5124,39.72475087340756,,95.71687365622506,
228121.0,209083.0,-0.008,-0.8257,-0.5204,43.27315612025825,,96.47161865466836,
228100.0,209095.0,-0.006,-0.8287,-0.5204,,,99.04303728889757,
228181.0,209078.0,-0.006,-0.8287,-0.5204,,,95.8890165572967,
228091.0,209055.0,-0.005,-0.8417,-0.5234,,,95.73225562878322,
228190.0,209035.0,0.004,-0.8567,-0.5184,,,93.00750653689602,
228233.0,209092.0,0.006,-0.8567,-0.5184,,,97.42444460886588,
228159.0,209092.0,-0.001,-0.8567,-0.5134,,,93.48338406937695,
228284.0,209067.0,-0.005,-0.8537,-0.5274,,,97.02504501447429,
228272.0,209187.0,-0.007,-0.8507,-0.5264,,,94.973292783332,
228253.0,209115.0,0.002,-0.8527,-0.5294,,,93.95775835483944,
228285.0,209067.0,0.001,-0.8487,-0.5224,,,97.96612512230162,
228260.0,209208.0,-0.001,-0.8507,-0.5094,,,98.7315243612124,
228243.0,209090.0,-0.013,-0.8357,-0.4884,,,97.18093292841974,
228244.0,209133.0,-0.02,-0.8357,-0.4964,,,95.94696883863256,
228248.0,209191.0,-0.022,-0.8477,-0.4994,,,97.32156719334823,
228276.0,209096.0,0.012,-0.8597,-0.5164,,,97.29015048069931,
228280.0,209120.0,0.007,-0.8527,-0.5074,,,96.63653616804363,
228378.0,209152.0,0.007,-0.8527,-0.5074,,,98.87390629731412,
228450.0,209152.0,0.002,-0.8427,-0.5154,,,98.77605980473842,
228446.0,209172.0,-0.033,-0.8067,-0.5454,,,96.7236225016197,
228524.0,209308.0,-0.019,-0.8117,-0.5344,,,96.62363490244663,
228555.0,209171.0,-0.034,-0.8247,-0.5244,,,99.06419206174557,
228509.0,209142.0,-0.037,-0.8407,-0.5274,,,97.18704219941962,
228309.0,209143.0,-0.027,-0.8507,-0.5254,,,97.89380641331606,
228169.0,209092.0,-0.012,-0.8617,-0.5194,,,98.35072434698469,
228085.0,209009.0,-0.005,-0.8597,-0.5104,,,99.22792294850075,
227999.0,208994.0,-0.005,-0.8487,-0.5084,,,96.67348080361728,
228003.0,209080.0,-0.009,-0.8337,-0.5074,,,87.10290913094705,
228061.0,208954.0,-0.015,-0.8177,-0.5074,,,96.68760342654298,
228046.0,209010.0,-0.018,-0.8127,-0.5034,,,97.65896944241808,
228091.0,209059.0,-0.017,-0.8277,-0.5174,,,97.10039886026969,
228066.0,209008.0,-0.007,-0.8397,-0.5224,,,97.29522570783539,
228146.0,209089.0,-0.003,-0.8477,-0.5254,,,99.66269662901087,
228121.0,209082.0,-0.001,-0.8437,-0.5184,,,97.19688473732063,
228187.0,209125.0,-0.007,-0.8367,-0.5074,,,98.51590538012404,
228237.0,209091.0,-0.01,-0.8447,-0.5054,,,98.12409582679159,
228252.0,209160.0,-0.012,-0.8577,-0.5104,,,97.6536305789977,
228223.0,209100.0,-0.017,-0.8777,-0.5144,,,97.02687155353934,
228250.0,209081.0,-0.018,-0.8707,-0.5094,,,94.334053125101,
228274.0,209169.0,-0.015,-0.8607,-0.5094,,,97.87797076838021,
228252.0,209085.0,-0.01,-0.8547,-0.5084,,,98.965608517423,
228275.0,209184.0,-0.005,-0.8567,-0.5184,,,96.58355843746355,
228260.0,209082.0,-0.001,-0.8577,-0.5204,,,97.63882309741525,
228307.0,209141.0,-0.005,-0.8377,-0.5184,,,95.74972297625558,
228282.0,209183.0,-0.005,-0.8247,-0.5064,,,96.83202705922403,
228460.0,209195.0,-0.01,-0.8657,-0.5184,,,83.45369712751551,
228425.0,209237.0,-0.004,-0.8647,-0.5164,,,96.46290322652825,
228267.0,209125.0,-0.006,-0.8507,-0.5124,,,81.45998541552152,
228110.0,208954.0,0.004,-0.8397,-0.5064,,,92.92501927328586,
227993.0,209018.0,0.0,-0.8397,-0.5094,,,93.24174678300261,
227929.0,208949.0,-0.002,-0.8407,-0.5144,,,94.91040508344946,
227902.0,208940.0,-0.005,-0.8417,-0.5224,,,96.20079027074114,
228003.0,208911.0,-0.001,-0.8467,-0.5224,,,96.5611452936447,
228038.0,209071.0,0.002,-0.8467,-0.5174,,,94.3498229976527,
