IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
234042.0,222125.0,0.8587,-0.5074,-0.1111,60.56711966057988,,99.22884773611474,
234115.0,222148.0,0.8627,-0.5014,-0.1091,55.16601896128664,,100.0,
234181.0,222161.0,0.8637,-0.5044,-0.1131,62.666350442796514,,92.48334736082529,
234265.0,222181.0,0.8607,-0.5044,-0.1111,60.283773087579696,,89.82294132140245,
234322.0,222194.0,0.8587,-0.5054,-0.1101,55.23402694081197,,95.67958875918885,
234413.0,222254.0,0.8587,-0.5034,-0.1081,59.05506662260326,,88.126131919457,
234447.0,222312.0,0.8627,-0.5024,-0.1051,56.344340652079744,,97.82194233812683,
234442.0,222277.0,0.8627,-0.5024,-0.1051,54.764052239702664,,97.48410555288531,
234454.0,222283.0,0.8587,-0.5014,-0.1101,60.30258594829964,,95.08996965299092,
234412.0,222314.0,0.8557,-0.5054,-0.1071,60.23384135087243,,96.6494758100336,
234419.0,222255.0,0.8637,-0.5024,-0.1011,58.99909199475017,,99.80810201393939,
234378.0,222300.0,0.8637,-0.5024,-0.0951,54.61072371843814,,97.29098269872313,
234389.0,222245.0,0.8717,-0.4974,-0.1031,53.97111494992902,,98.53555448173692,
234397.0,222193.0,0.8627,-0.4974,-0.1071,49.02119331771758,,96.2799519138621,
234423.0,222289.0,0.8607,-0.5054,-0.1011,59.02550093871296,,95.14643861842958,
234414.0,222256.0,0.8567,-0.5034,-0.1131,52.4079111942297,,99.59731430787721,
234445.0,222275.0,0.8627,-0.4994,-0.1141,48.141907217806995,,99.8870340881681,
234503.0,222314.0,0.8577,-0.4994,-0.1161,54.63203371634796,,98.89341378786615,
234515.0,222392.0,0.8587,-0.4984,-0.1131,60.78214892015387,,98.58748882270419,
234495.0,222325.0,0.8627,-0.4994,-0.1161,48.24640660717709,,81.6365487105468,
234505.0,222282.0,0.8657,-0.4974,-0.1161,62.5618412213138,,99.10718684238037,
234492.0,222269.0,0.8657,-0.5004,-0.1161,51.47505333355965,,97.98292533533807,
234398.0,222233.0,0.8597,-0.5024,-0.1141,50.27595753470747,,96.46309166258516,
234270.0,222222.0,0.8577,-0.5014,-0.1191,59.077595587605764,,97.07075333383509,
234228.0,222220.0,0.8597,-0.5044,-0.1151,51.88217687010766,,96.73319517052204,
234255.0,222218.0,0.8637,-0.5024,-0.1131,63.516784424843216,,98.2755756083692,
234256.0,222195.0,0.8627,-0.5004,-0.1131,62.93366546156483,,98.625110321006,
234248.0,222217.0,0.8607,-0.4994,-0.1101,53.25129233012441,,98.3622666015385,
234340.0,222225.0,0.8627,-0.5014,-0.1121,58.54018540070249,,98.37802286247839,
234589.0,222338.0,0.8627,-0.5004,-0.1091,50.878510854800254,,93.25333833112248,
234582.0,222353.0,0.8647,-0.5034,-0.1091,61.19423947415422,,96.89523673418424,
234555.0,222338.0,0.8627,-0.5034,-0.1081,58.26559867678394,,98.04597279955205,
234525.0,222301.0,0.8627,-0.5014,-0.1161,69.64844444507504,,91.94133651854101,
234514.0,222324.0,0.8607,-0.5004,-0.1121,67.18007931345952,,96.59445843127995,
234560.0,222347.0,0.8597,-0.4954,-0.1061,52.28075500575771,,99.1830522386373,
234588.0,222358.0,0.8647,-0.4954,-0.1051,59.22002518268798,,98.99053082141656,
234611.0,222366.0,0.8647,-0.4964,-0.1031,53.197311153702685,,96.6252969371018,
234634.0,222379.0,0.8677,-0.4974,-0.1071,54.49345515248799,,99.57969591807844,
234654.0,222348.0,0.8637,-0.4974,-0.1101,51.04001549754397,,98.5849303877398,
234675.0,222355.0,0.8677,-0.4984,-0.1101,,,96.06268338972829,
